Date;Type;Country;Injury
25-Jun-2018;Boating;USA;No injury to occupant, outrigger canoe and paddle damaged
18-Jun-2018;Unprovoked;USA;Minor injury to left thigh
09-Jun-2018;Invalid;USA;Injury to left lower leg from surfboard skeg
08-Jun-2018;Unprovoked;AUSTRALIA;Minor injury to lower leg
04-Jun-2018;Provoked;MEXICO;Lacerations to leg & hand shark PROVOKED INCIDENT
03-Jun-2018;Unprovoked;AUSTRALIA;No injury, board bitten
03-Jun-2018;Unprovoked;BRAZIL;FATAL
27-May-2018;Unprovoked;USA;Minor injury to foot. PROVOKED INCIDENT
26-May-2018;Unprovoked;USA;Lower left leg bitten
26-May-2018;Unprovoked;USA;Minor injury to foot
24-May-2018;Provoked;AUSTRALIA;Minor bite to hand by captive shark. PROVOKED INCIDENT
21-May-2018;Unprovoked;USA;Injuries to lower right leg and foot
13-May-2018;Unprovoked;USA;Severe bite to right forearm
13-May-2018;Invalid;ENGLAND;Injured by teeth of a dead porbeagle shark he was tossing overboard.
May 2018;Provoked;AUSTRALIA;Shallow lacerations to finger PROVOKED INCIDENT
12-May-2018;Unprovoked;SOUTH AFRICA;Minor injury, marks on board
09-May-2018;Questionable;AUSTRALIA;No injury, surfboard damaged
Reported 30-Apr-2018;Unprovoked;THAILAND;Minor injury to ankle
28-Apr-2018;Unprovoked;COSTA RICA;No injury, shark bit scuba gear
28-Apr-2018;Unprovoked;AUSTRALIA;No injury, knocked off board by shark
25-Apr-2018;Questionable;AUSTRALIA;No injury
25-Apr-2018;Unprovoked;AUSTRALIA;No injury, knocked off board by shark
24-Apr-2018;Unprovoked;AUSTRALIA;No injury, shark struck his leg
23-Apr-2018;Unprovoked;MALDIVES;5-inch cut to hand
22-Apr-2018;Unprovoked;SOUTH AFRICA;No injury, shark bit hole in ski
19-Apr-2018;Unprovoked;USA;Lacerations to right lower leg
15-Apr-2018;Unprovoked;THAILAND;Lacerations to foot and ankle
15-Apr-2018;Unprovoked;BRAZIL;Multiple severe injuries to arms and leg, leg subsequently surgically amputated
15-Apr-2018;Unprovoked;AUSTRALIA;Laceration to right thigh
15-Apr-2018;Unprovoked;AUSTRALIA;Lacerations to legs
14-Apr-2018;Unprovoked;BAHAMAS;No Injury. Shark swam away with the surf board
Reported 10-Apr-2018;Invalid;BRAZIL;Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. 
09-Apr-2018;Unprovoked;NEW CALEDONIA;No injury, shark bit board
05-Apr-2018;Unprovoked;BAHAMAS;2 puncture wounds to left foot, abrasion to right foot
03-Apr-2018;Unprovoked;SOUTH AFRICA;Lacerations to left knee & lower leg
31-Mar-2018;Unprovoked;USA;Injuries to right leg & hand
14-Mar-2018;Unprovoked;AUSTRALIA;Minor injuries to legs
9-Mar-2018;Unprovoked;AUSTRALIA;No injury, said to have been charged by sharks several times
9-Mar-2018;Unprovoked;AUSTRALIA;Minor injury, ankle grazed
24-Feb-2018;Unprovoked;SOUTH AFRICA;" The shark & man simply collided; neither were injured"
23-Feb-2018;Unprovoked;AUSTRALIA;Laceratons to right leg & foot
18-Feb-2018;Provoked;AUSTRALIA;Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT
15-Feb-2018;Unprovoked;AUSTRALIA;Puncture wounds to leff foot & lower leg
14-Feb-2018;Invalid;AUSTRALIA;Collision / No injury, no attack
11-Feb-2018;Invalid;BRAZIL;Lacerations to 4 toes of right foot
03-Feb-2018;Unprovoked;ECUADOR;Injuries to right foot
01-Feb-2018;Invalid;AUSTRALIA;"No injury no attack. This is considerd an ""encounter"""
28-Jan-2018;Unprovoked;AUSTRALIA;Injuries to right leg
21-Jan-2018;Unprovoked;NEW CALEDONIA;Injuries to abdomen and arm
14-Jan-2018;Unprovoked;AUSTRALIA;Severe laceration to left forearm
